iter	Passed	Remaining
852	4595	791
853	4600	786
854	4604	780
855	4609	775
856	4614	769
857	4619	764
858	4623	758
859	4628	753
860	4634	748
861	4638	742
862	4643	737
863	4648	731
864	4653	726
865	4658	720
866	4663	715
867	4668	709
868	4672	704
869	4677	698
870	4682	693
871	4688	688
872	4692	682
873	4697	677
874	4702	671
875	4706	666
876	4711	660
877	4715	655
878	4720	649
879	4724	644
880	4730	638
881	4735	633
882	4740	628
883	4745	622
884	4749	617
885	4754	611
886	4759	606
887	4763	600
888	4768	595
889	4773	589
890	4777	584
891	4782	579
892	4787	573
893	4791	568
894	4796	562
895	4801	557
896	4805	551
897	4810	546
898	4815	540
899	4819	535
900	4824	530
901	4829	524
902	4833	519
903	4838	513
904	4843	508
905	4847	502
906	4852	497
907	4857	492
908	4861	486
909	4866	481
910	4870	475
911	4876	470
912	4881	465
913	4886	459
914	4891	454
915	4896	449
916	4901	443
917	4905	438
918	4910	432
919	4914	427
920	4920	422
921	4924	416
922	4929	411
923	4934	405
924	4939	400
925	4944	395
926	4949	389
927	4954	384
928	4959	379
929	4963	373
930	4968	368
931	4973	362
932	4977	357
933	4982	352
934	4987	346
935	4991	341
936	4996	335
937	5000	330
938	5005	325
939	5010	319
940	5015	314
941	5019	309
942	5025	303
943	5030	298
944	5035	293
945	5040	287
946	5045	282
947	5050	277
948	5055	271
949	5060	266
950	5064	260
951	5069	255
952	5074	250
953	5079	244
954	5084	239
955	5088	234
956	5093	228
957	5097	223
958	5102	218
959	5107	212
960	5111	207
961	5116	202
962	5121	196
963	5126	191
964	5130	186
965	5135	180
966	5139	175
967	5144	170
968	5149	164
969	5153	159
970	5158	154
971	5162	148
972	5167	143
973	5171	138
974	5176	132
975	5181	127
976	5186	122
977	5191	116
978	5196	111
979	5201	106
980	5206	100
981	5210	95
982	5215	90
983	5219	84
984	5224	79
985	5229	74
986	5233	68
987	5239	63
988	5243	58
989	5248	53
990	5252	47
991	5257	42
992	5261	37
993	5266	31
994	5271	26
995	5275	21
996	5280	15
997	5285	10
998	5289	5
999	5293	0
